Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
ZDHHC6	10q25.2	0.03	0.02	0.01	0.00	0.00	0.439	0.614	(A) BLACK OR AFRICAN AMERICAN
CYP1B1	2p22.2	0.52	0.54	0.20	0.18	-0.02	0.439	0.614	(B) WHITE
USHBP1	19p13.11	0.91	0.91	0.05	0.06	0.00	0.439	0.614	(A) BLACK OR AFRICAN AMERICAN
BOK	2q37.3	0.42	0.41	0.13	0.15	0.01	0.439	0.614	(A) BLACK OR AFRICAN AMERICAN
TRIM59	3q25.33	0.08	0.07	0.10	0.07	0.01	0.439	0.614	(A) BLACK OR AFRICAN AMERICAN
PHTF1	1p13.2	0.28	0.30	0.20	0.19	-0.02	0.439	0.614	(B) WHITE
HEYL	1p34.2	0.91	0.92	0.09	0.05	-0.01	0.439	0.614	(B) WHITE
GALNT12	9q22.33	0.15	0.17	0.20	0.19	-0.02	0.439	0.614	(B) WHITE
BATF3	1q32.3	0.21	0.19	0.19	0.16	0.02	0.439	0.615	(A) BLACK OR AFRICAN AMERICAN
ROM1	11q12.3	0.75	0.76	0.10	0.10	-0.01	0.440	0.615	(B) WHITE
ACOT4	14q24.3	0.07	0.07	0.06	0.07	0.01	0.440	0.615	(A) BLACK OR AFRICAN AMERICAN
RNF217-AS1	6q22.31	0.14	0.16	0.21	0.23	-0.02	0.440	0.615	(B) WHITE
TMOD4	1q21.3	0.95	0.95	0.01	0.02	-0.00	0.440	0.615	(B) WHITE
ZNF93	19p12	0.04	0.03	0.10	0.06	0.01	0.440	0.615	(A) BLACK OR AFRICAN AMERICAN
SEMA4G	10q24.31	0.64	0.65	0.12	0.12	-0.01	0.440	0.615	(B) WHITE
MCCC2	5q13.2	0.01	0.01	0.00	0.00	0.00	0.440	0.615	(A) BLACK OR AFRICAN AMERICAN
STRADB	2q33.1	0.21	0.23	0.14	0.16	-0.01	0.440	0.615	(B) WHITE
CYP2D6	22q13.2	0.82	0.83	0.09	0.09	-0.01	0.441	0.615	(B) WHITE
WDR48	3p22.2	0.05	0.05	0.01	0.02	0.00	0.441	0.616	(A) BLACK OR AFRICAN AMERICAN
TMX1	14q22.1	0.09	0.08	0.04	0.05	0.00	0.441	0.616	(A) BLACK OR AFRICAN AMERICAN
LURAP1	1p34.1	0.40	0.42	0.17	0.18	-0.02	0.441	0.616	(B) WHITE
MYOM1	18p11.31	0.92	0.93	0.09	0.04	-0.01	0.441	0.616	(B) WHITE
AARS	16q22.1	0.02	0.02	0.01	0.01	-0.00	0.441	0.616	(B) WHITE
GTF3C1	16p12.1	0.04	0.04	0.01	0.02	0.00	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
FBXO15	18q22.3	0.03	0.03	0.01	0.01	0.00	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
ACTR3C	7q36.1	0.12	0.12	0.04	0.06	-0.00	0.442	0.617	(B) WHITE
NANOG	12p13.31	0.40	0.39	0.19	0.18	0.02	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
ZNF584	19q13.43	0.06	0.06	0.02	0.02	0.00	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
PCMT1	6q25.1	0.02	0.02	0.00	0.00	-0.00	0.442	0.617	(B) WHITE
TTC28	22q12.1	0.64	0.63	0.12	0.10	0.01	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
DPYD	1p21.3	0.08	0.07	0.03	0.04	0.00	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
AMZ2	17q24.2	0.02	0.02	0.00	0.01	-0.00	0.442	0.617	(B) WHITE
BTN2A2	6p22.2	0.07	0.07	0.03	0.03	0.00	0.442	0.617	(A) BLACK OR AFRICAN AMERICAN
GPC6	13q31.3-q32.1	0.28	0.30	0.19	0.23	-0.02	0.443	0.617	(B) WHITE
SCAF4	21q22.11	0.01	0.01	0.00	0.00	0.00	0.443	0.617	(A) BLACK OR AFRICAN AMERICAN
RAPH1	2q33.2	0.01	0.01	0.00	0.00	0.00	0.443	0.618	(A) BLACK OR AFRICAN AMERICAN
PAPPA	9q33.1	0.34	0.35	0.17	0.19	-0.02	0.443	0.618	(B) WHITE
TSPOAP1	17q22	0.46	0.44	0.16	0.16	0.02	0.443	0.618	(A) BLACK OR AFRICAN AMERICAN
ZNF683	1p36.11	0.85	0.86	0.07	0.07	-0.01	0.443	0.618	(B) WHITE
ADAT2	6q24.2	0.02	0.02	0.00	0.01	-0.00	0.443	0.618	(B) WHITE
PODNL1	19p13.12	0.85	0.86	0.10	0.09	-0.01	0.443	0.618	(B) WHITE
RNASE13	14q11.2	0.65	0.66	0.16	0.14	-0.02	0.443	0.618	(B) WHITE
RUFY1	5q35.3	0.11	0.10	0.06	0.05	0.01	0.443	0.618	(A) BLACK OR AFRICAN AMERICAN
ADRA1A	8p21.2	0.38	0.36	0.20	0.19	0.02	0.443	0.618	(A) BLACK OR AFRICAN AMERICAN
GUSBP2	6p22.2	0.72	0.73	0.11	0.10	-0.01	0.443	0.618	(B) WHITE
EIF1	17q21.2	0.03	0.03	0.01	0.01	0.00	0.444	0.618	(A) BLACK OR AFRICAN AMERICAN
MYADM	19q13.42	0.03	0.02	0.05	0.03	0.00	0.444	0.618	(A) BLACK OR AFRICAN AMERICAN
GPR21	9q33.2	0.81	0.82	0.10	0.10	-0.01	0.444	0.618	(B) WHITE
FAM110D	1p36.11	0.69	0.68	0.09	0.08	0.01	0.444	0.618	(A) BLACK OR AFRICAN AMERICAN
CSDC2	22q13.2	0.78	0.78	0.06	0.06	-0.01	0.444	0.618	(B) WHITE
SERINC2	1p35.2	0.83	0.82	0.06	0.06	0.01	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
PLAAT1	3q29	0.13	0.11	0.12	0.11	0.01	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
YPEL1	22q11.21-q11.22	0.06	0.06	0.03	0.04	0.00	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
RNF123	3p21.31	0.07	0.06	0.02	0.02	0.00	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
SNX31	8q22.3	0.48	0.46	0.16	0.16	0.02	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
NCF2	1q25.3	0.62	0.63	0.15	0.14	-0.01	0.444	0.619	(B) WHITE
ZNF423	16q12.1	0.34	0.31	0.21	0.21	0.02	0.444	0.619	(A) BLACK OR AFRICAN AMERICAN
SAP30L	5q33.2	0.04	0.04	0.01	0.01	0.00	0.445	0.619	(A) BLACK OR AFRICAN AMERICAN
RALGAPA2	20p11.23	0.13	0.12	0.07	0.07	0.01	0.445	0.619	(A) BLACK OR AFRICAN AMERICAN
PARS2	1p32.3	0.06	0.06	0.03	0.02	-0.00	0.445	0.619	(B) WHITE
ZXDC	3q21.3	0.04	0.04	0.07	0.07	0.01	0.445	0.619	(A) BLACK OR AFRICAN AMERICAN
TRIM56	7q22.1	0.96	0.95	0.06	0.07	0.01	0.445	0.619	(A) BLACK OR AFRICAN AMERICAN
SMIM19	8p11.21	0.02	0.02	0.00	0.00	0.00	0.445	0.619	(A) BLACK OR AFRICAN AMERICAN
FAM89B	11q13.1	0.02	0.02	0.00	0.01	-0.00	0.445	0.619	(B) WHITE
SYNJ2	6q25.3	0.60	0.62	0.19	0.20	-0.02	0.445	0.619	(B) WHITE
PITPNM3	17p13.2-p13.1	0.40	0.41	0.16	0.16	-0.02	0.445	0.620	(B) WHITE
GCAT	22q13.1	0.01	0.01	0.00	0.00	-0.00	0.446	0.620	(B) WHITE
FEN1	11q12.2	0.36	0.38	0.14	0.15	-0.01	0.446	0.620	(B) WHITE
BORCS5	12p13.2	0.02	0.03	0.00	0.00	-0.00	0.446	0.620	(B) WHITE
KIAA0100	17q11.2	0.02	0.02	0.00	0.02	-0.00	0.446	0.620	(B) WHITE
POLE3	9q32	0.02	0.02	0.01	0.01	-0.00	0.446	0.620	(B) WHITE
PRRX1	1q24.2	0.64	0.65	0.14	0.13	-0.01	0.446	0.620	(B) WHITE
AAR2	20q11.23	0.01	0.01	0.00	0.01	-0.00	0.446	0.620	(B) WHITE
AADAC	3q25.1	0.89	0.89	0.04	0.05	-0.00	0.446	0.620	(B) WHITE
RDH16	12q13.3	0.72	0.74	0.14	0.12	-0.01	0.446	0.620	(B) WHITE
FAM120B	6q27	0.01	0.01	0.00	0.03	-0.00	0.446	0.620	(B) WHITE
DUSP6	12q21.33	0.76	0.74	0.19	0.18	0.02	0.446	0.620	(A) BLACK OR AFRICAN AMERICAN
DDX20	1p13.2	0.02	0.02	0.01	0.02	-0.00	0.446	0.620	(B) WHITE
PLXDC2	10p12.31	0.08	0.07	0.07	0.07	0.01	0.446	0.620	(A) BLACK OR AFRICAN AMERICAN
ABCB4	7q21.12	0.71	0.72	0.15	0.12	-0.01	0.446	0.620	(B) WHITE
PRDM2	1p36.21	0.04	0.03	0.10	0.08	0.01	0.447	0.620	(A) BLACK OR AFRICAN AMERICAN
VWA3B	2q11.2	0.34	0.32	0.17	0.15	0.02	0.447	0.620	(A) BLACK OR AFRICAN AMERICAN
SYNE4	19q13.12	0.39	0.38	0.12	0.11	0.01	0.447	0.620	(A) BLACK OR AFRICAN AMERICAN
MEGF11	15q22.31	0.54	0.52	0.16	0.17	0.02	0.447	0.621	(A) BLACK OR AFRICAN AMERICAN
WDR17	4q34.2	0.20	0.22	0.20	0.19	-0.02	0.447	0.621	(B) WHITE
CERKL	2q31.3	0.15	0.13	0.17	0.14	0.02	0.447	0.621	(A) BLACK OR AFRICAN AMERICAN
CNNM1	10q24.2	0.26	0.27	0.16	0.15	-0.02	0.447	0.621	(B) WHITE
STBD1	4q21.1	0.44	0.43	0.16	0.13	0.02	0.447	0.621	(A) BLACK OR AFRICAN AMERICAN
C12ORF65	12q24.31	0.03	0.03	0.01	0.01	0.00	0.447	0.621	(A) BLACK OR AFRICAN AMERICAN
DERA	12p12.3	0.02	0.02	0.00	0.00	-0.00	0.448	0.621	(B) WHITE
PAQR8	6p12.2	0.26	0.28	0.19	0.19	-0.02	0.448	0.621	(B) WHITE
NEK2	1q32.3	0.16	0.16	0.05	0.05	-0.00	0.448	0.622	(B) WHITE
RSRC1	3q25.32	0.02	0.02	0.01	0.02	0.00	0.448	0.622	(A) BLACK OR AFRICAN AMERICAN
MFSD2A	1p34.2	0.05	0.04	0.09	0.08	0.01	0.448	0.622	(A) BLACK OR AFRICAN AMERICAN
POTEF	2q21.1	0.53	0.52	0.11	0.09	0.01	0.448	0.622	(A) BLACK OR AFRICAN AMERICAN
MCM10	10p13	0.02	0.02	0.03	0.00	0.00	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
ALKBH5	17p11.2|17p11.2	0.02	0.02	0.00	0.00	-0.00	0.449	0.623	(B) WHITE
TTC38	22q13.31	0.05	0.06	0.02	0.04	-0.00	0.449	0.623	(B) WHITE
GINM1	6q25.1	0.07	0.07	0.03	0.03	0.00	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
FBLN7	2q13-q14.1	0.64	0.61	0.28	0.26	0.03	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
TMCO6	5q31.3	0.10	0.10	0.05	0.04	0.00	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
PPP1R13B	14q32.33	0.33	0.32	0.10	0.11	0.01	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
PSKH1	16q22.1	0.09	0.09	0.04	0.03	-0.00	0.449	0.623	(B) WHITE
TMEM183A	1q32.1	0.03	0.03	0.01	0.01	-0.00	0.449	0.623	(B) WHITE
LINC01011	6p25.2	0.03	0.04	0.01	0.02	-0.00	0.449	0.623	(B) WHITE
SLC25A18	22q11.21	0.89	0.88	0.10	0.07	0.01	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
SMIM14	4p14	0.03	0.03	0.01	0.01	0.00	0.449	0.623	(A) BLACK OR AFRICAN AMERICAN
LDHC	11p15.1	0.76	0.77	0.13	0.13	-0.01	0.449	0.623	(B) WHITE
FGFBP3	10q23.32	0.09	0.10	0.11	0.11	-0.01	0.450	0.623	(B) WHITE
CADM3	1q23.2	0.34	0.36	0.17	0.16	-0.02	0.450	0.623	(B) WHITE
DNAJB11	3q27.3	0.02	0.02	0.00	0.00	0.00	0.450	0.624	(A) BLACK OR AFRICAN AMERICAN
ARHGAP1	11p11.2	0.03	0.03	0.01	0.01	0.00	0.450	0.624	(A) BLACK OR AFRICAN AMERICAN
PRKD3	2p22.2	0.87	0.87	0.04	0.05	-0.00	0.450	0.624	(B) WHITE
NTRK2	9q21.33	0.38	0.40	0.19	0.19	-0.02	0.450	0.624	(B) WHITE
IL25	14q11.2	0.70	0.71	0.13	0.11	-0.01	0.451	0.624	(B) WHITE
TBC1D10A	22q12.2	0.05	0.05	0.02	0.02	0.00	0.451	0.624	(A) BLACK OR AFRICAN AMERICAN
SS18L1	20q13.33	0.94	0.94	0.02	0.02	0.00	0.451	0.624	(A) BLACK OR AFRICAN AMERICAN
DOCK9	13q32.3	0.02	0.02	0.00	0.01	-0.00	0.451	0.624	(B) WHITE
ZIK1	19q13.43	0.32	0.34	0.19	0.20	-0.02	0.451	0.625	(B) WHITE
RNF165	18q21.1	0.54	0.56	0.16	0.17	-0.02	0.451	0.625	(B) WHITE
PPIL1	6p21.2	0.02	0.02	0.01	0.01	-0.00	0.451	0.625	(B) WHITE
EFR3A	8q24.22	0.02	0.02	0.01	0.01	0.00	0.452	0.625	(A) BLACK OR AFRICAN AMERICAN
RAP1B	12q15	0.01	0.01	0.00	0.00	-0.00	0.452	0.625	(B) WHITE
SYTL1	1p36.11	0.27	0.28	0.07	0.07	-0.01	0.452	0.625	(B) WHITE
GRIK1	21q21.3	0.39	0.38	0.12	0.13	0.01	0.452	0.625	(A) BLACK OR AFRICAN AMERICAN
LINC00115	1p36.33	0.02	0.03	0.03	0.02	-0.00	0.452	0.625	(B) WHITE
TMBIM6	12q13.12	0.02	0.02	0.00	0.01	0.00	0.452	0.625	(A) BLACK OR AFRICAN AMERICAN
NFRKB	11q24.3	0.04	0.04	0.02	0.02	0.00	0.452	0.626	(A) BLACK OR AFRICAN AMERICAN
IL1RL2	2q12.1	0.47	0.49	0.17	0.19	-0.02	0.452	0.626	(B) WHITE
TPRXL	3p25.1	0.63	0.65	0.16	0.14	-0.02	0.452	0.626	(B) WHITE
CTSL	9q21.33	0.92	0.92	0.09	0.05	-0.01	0.453	0.626	(B) WHITE
ZUP1	6q22.1	0.02	0.02	0.00	0.00	0.00	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
ARIH1	15q24.1	0.01	0.01	0.00	0.00	0.00	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
DAPK3	19p13.3	0.89	0.90	0.02	0.04	-0.00	0.453	0.626	(B) WHITE
PLEKHG4	16q22.1	0.56	0.57	0.13	0.13	-0.01	0.453	0.626	(B) WHITE
CCNO	5q11.2	0.17	0.17	0.09	0.09	0.01	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
LOC407835	7q32.1	0.87	0.88	0.11	0.08	-0.01	0.453	0.626	(B) WHITE
GNPAT	1q42.2	0.06	0.06	0.02	0.02	0.00	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
BDH2	4q24	0.15	0.15	0.06	0.07	-0.01	0.453	0.626	(B) WHITE
SNRPD2	19q13.32	0.02	0.02	0.00	0.00	-0.00	0.453	0.626	(B) WHITE
ATG7	3p25.3	0.88	0.88	0.05	0.04	-0.00	0.453	0.626	(B) WHITE
RAB8A	19p13.11	0.02	0.01	0.00	0.00	0.00	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
SOX5	12p12.1	0.14	0.13	0.10	0.15	0.01	0.453	0.626	(A) BLACK OR AFRICAN AMERICAN
PRXL2A	10q23.1	0.56	0.58	0.18	0.19	-0.02	0.454	0.627	(B) WHITE
TSGA10	2q11.2	0.52	0.50	0.21	0.19	0.02	0.454	0.627	(A) BLACK OR AFRICAN AMERICAN
CD84	1q23.3	0.54	0.52	0.24	0.23	0.02	0.454	0.627	(A) BLACK OR AFRICAN AMERICAN
ADRB3	8p11.23	0.58	0.60	0.16	0.17	-0.02	0.454	0.627	(B) WHITE
TUBA1B	12q13.12	0.05	0.05	0.01	0.01	-0.00	0.454	0.627	(B) WHITE
C9ORF78	9q34.11	0.03	0.03	0.01	0.01	-0.00	0.454	0.627	(B) WHITE
IGSF9	1q23.2	0.40	0.42	0.13	0.13	-0.01	0.454	0.627	(B) WHITE
ZBTB14	18p11.31	0.02	0.02	0.00	0.01	-0.00	0.455	0.628	(B) WHITE
GNG2	14q22.1	0.82	0.81	0.15	0.15	0.01	0.455	0.628	(A) BLACK OR AFRICAN AMERICAN
OS9	12q13.3-q14.1	0.07	0.07	0.03	0.05	-0.00	0.455	0.628	(B) WHITE
EMILIN1	2p23.3	0.71	0.70	0.10	0.10	0.01	0.455	0.628	(A) BLACK OR AFRICAN AMERICAN
DAD1	14q11.2	0.02	0.02	0.00	0.01	0.00	0.455	0.628	(A) BLACK OR AFRICAN AMERICAN
C10ORF12	10q24.1	0.59	0.58	0.09	0.10	0.01	0.455	0.628	(A) BLACK OR AFRICAN AMERICAN
AMZ1	7p22.3	0.27	0.26	0.10	0.09	0.01	0.455	0.628	(A) BLACK OR AFRICAN AMERICAN
RTN2	19q13.32	0.13	0.12	0.12	0.08	0.01	0.456	0.628	(A) BLACK OR AFRICAN AMERICAN
CLDN3	7q11.23	0.35	0.33	0.15	0.18	0.01	0.456	0.628	(A) BLACK OR AFRICAN AMERICAN
MICB	6p21.33	0.84	0.85	0.08	0.08	-0.01	0.456	0.629	(B) WHITE
SAMD12	8q24.11-q24.12	0.03	0.03	0.01	0.01	-0.00	0.456	0.629	(B) WHITE
FAM238C	10p12.1	0.84	0.85	0.08	0.07	-0.01	0.456	0.629	(B) WHITE
SLC18B1	6q23.2	0.05	0.05	0.03	0.04	-0.00	0.456	0.629	(B) WHITE
C1ORF116	1q32.1	0.54	0.52	0.19	0.18	0.02	0.456	0.629	(A) BLACK OR AFRICAN AMERICAN
TNFSF4	1q25.1	0.56	0.53	0.24	0.23	0.02	0.457	0.629	(A) BLACK OR AFRICAN AMERICAN
DLGAP2	8p23.3	0.50	0.48	0.17	0.15	0.02	0.457	0.629	(A) BLACK OR AFRICAN AMERICAN
PPP1R1B	17q12	0.65	0.67	0.23	0.23	-0.02	0.457	0.630	(B) WHITE
MRPL34	19p13.11	0.01	0.01	0.00	0.00	0.00	0.457	0.630	(A) BLACK OR AFRICAN AMERICAN
MCAT	22q13.2	0.03	0.03	0.01	0.01	-0.00	0.457	0.630	(B) WHITE
ABCB10	1q42.13	0.01	0.01	0.00	0.00	0.00	0.457	0.630	(A) BLACK OR AFRICAN AMERICAN
URB1-AS1	21q22.11	0.09	0.10	0.05	0.06	-0.00	0.457	0.630	(B) WHITE
ZFP36L2	2p21	0.11	0.12	0.16	0.19	-0.02	0.457	0.630	(B) WHITE
INKA1	3p21.31	0.07	0.07	0.04	0.03	-0.00	0.457	0.630	(B) WHITE
IPMK	10q21.1	0.01	0.02	0.00	0.04	-0.00	0.458	0.631	(B) WHITE
CSNK2A1	20p13	0.02	0.02	0.01	0.01	-0.00	0.458	0.631	(B) WHITE
MESP1	15q26.1	0.30	0.31	0.16	0.17	-0.02	0.458	0.631	(B) WHITE
ATP6V1C2	-	0.06	0.05	0.13	0.11	0.01	0.458	0.631	(A) BLACK OR AFRICAN AMERICAN
CEP192	18p11.21	0.03	0.03	0.01	0.01	-0.00	0.458	0.631	(B) WHITE
C1QTNF7	4p15.32	0.82	0.81	0.15	0.12	0.01	0.459	0.631	(A) BLACK OR AFRICAN AMERICAN
CCDC154	16p13.3	0.81	0.82	0.07	0.09	-0.01	0.459	0.632	(B) WHITE
CTR9	11p15.4	0.03	0.03	0.01	0.01	0.00	0.459	0.632	(A) BLACK OR AFRICAN AMERICAN
KRT9	17q21.2	0.36	0.36	0.10	0.10	0.01	0.459	0.632	(A) BLACK OR AFRICAN AMERICAN
LAMA5	20q13.33	0.41	0.40	0.10	0.08	0.01	0.459	0.632	(A) BLACK OR AFRICAN AMERICAN
STMP1	7q33	0.24	0.23	0.07	0.06	0.01	0.459	0.632	(A) BLACK OR AFRICAN AMERICAN
INPP5B	1p34.3	0.54	0.56	0.20	0.18	-0.02	0.460	0.632	(B) WHITE
THRA	17q21.1	0.31	0.30	0.14	0.13	0.01	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
ADH1B	4q23	0.83	0.84	0.16	0.11	-0.01	0.460	0.632	(B) WHITE
ZNF148	3q21.2	0.02	0.02	0.00	0.00	0.00	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
ABCC1	16p13.11	0.22	0.21	0.11	0.15	0.01	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
NECTIN3	3q13.13	0.21	0.19	0.18	0.18	0.02	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
GPT	8q24.3	0.70	0.68	0.14	0.15	0.01	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
RUNDC3B	7q21.12	0.05	0.04	0.06	0.07	0.01	0.460	0.632	(A) BLACK OR AFRICAN AMERICAN
MYH3	17p13.1	0.91	0.92	0.07	0.07	-0.01	0.460	0.633	(B) WHITE
NUP42	7p15.3	0.17	0.19	0.17	0.16	-0.02	0.460	0.633	(B) WHITE
GNAQ	9q21.2	0.05	0.05	0.10	0.10	0.01	0.460	0.633	(A) BLACK OR AFRICAN AMERICAN
METTL1	12q14.1	0.19	0.20	0.09	0.10	-0.01	0.460	0.633	(B) WHITE
POMP	13q12.3	0.04	0.04	0.01	0.02	0.00	0.460	0.633	(A) BLACK OR AFRICAN AMERICAN
LCT	2q21.3	0.93	0.93	0.03	0.03	0.00	0.461	0.633	(A) BLACK OR AFRICAN AMERICAN
TM9SF3	10q24.1	0.03	0.03	0.01	0.02	0.00	0.461	0.633	(A) BLACK OR AFRICAN AMERICAN
THUMPD2	2p22.1|2p22-p21	0.80	0.81	0.16	0.14	-0.01	0.461	0.633	(B) WHITE
ZNF264	19q13.43	0.03	0.02	0.03	0.03	0.00	0.461	0.633	(A) BLACK OR AFRICAN AMERICAN
EIF4ENIF1	22q12.2	0.03	0.03	0.01	0.01	-0.00	0.461	0.633	(B) WHITE
FASLG	1q24.3	0.72	0.73	0.12	0.11	-0.01	0.461	0.634	(B) WHITE
CFAP53	18q21.1	0.44	0.43	0.17	0.18	0.02	0.461	0.634	(A) BLACK OR AFRICAN AMERICAN
ABCC5	3q27.1	0.68	0.67	0.15	0.15	0.01	0.461	0.634	(A) BLACK OR AFRICAN AMERICAN
MLIP	6p12.1	0.77	0.78	0.16	0.13	-0.02	0.461	0.634	(B) WHITE
CERS6	2q24.3	0.88	0.87	0.10	0.10	0.01	0.462	0.634	(A) BLACK OR AFRICAN AMERICAN
PGM3	6q14.1	0.73	0.71	0.18	0.18	0.02	0.462	0.634	(A) BLACK OR AFRICAN AMERICAN
C8ORF37	8q22.1	0.01	0.01	0.00	0.00	0.00	0.462	0.634	(A) BLACK OR AFRICAN AMERICAN
SLC16A4	1p13.3	0.48	0.50	0.20	0.19	-0.02	0.462	0.634	(B) WHITE
CAPN13	2p23.1	0.17	0.16	0.09	0.07	0.01	0.462	0.634	(A) BLACK OR AFRICAN AMERICAN
SNAI3	16q24.2	0.47	0.48	0.14	0.16	-0.01	0.462	0.635	(B) WHITE
SLIT1	10q24.1	0.05	0.06	0.09	0.08	-0.01	0.463	0.635	(B) WHITE
KYAT1	9q34.11	0.20	0.19	0.13	0.12	0.01	0.463	0.635	(A) BLACK OR AFRICAN AMERICAN
ZNF780B	19q13.2	0.06	0.05	0.07	0.06	0.01	0.463	0.635	(A) BLACK OR AFRICAN AMERICAN
SOX17	8q11.23	0.62	0.61	0.13	0.13	0.01	0.463	0.635	(A) BLACK OR AFRICAN AMERICAN
LOC154761	7q35	0.87	0.88	0.08	0.07	-0.01	0.463	0.635	(B) WHITE
ATP12A	13q12.12|13q12.1-q12.3	0.07	0.08	0.02	0.03	-0.00	0.463	0.635	(B) WHITE
LGALS9B	17p11.2	0.22	0.21	0.08	0.10	0.01	0.463	0.635	(A) BLACK OR AFRICAN AMERICAN
CTF1	16p11.2	0.44	0.46	0.19	0.20	-0.02	0.463	0.636	(B) WHITE
PDE3A	12p12.2	0.11	0.13	0.17	0.18	-0.02	0.463	0.636	(B) WHITE
SVBP	1p34.2	0.54	0.55	0.17	0.18	-0.02	0.463	0.636	(B) WHITE
ARPC1A	7q22.1	0.02	0.02	0.00	0.00	-0.00	0.463	0.636	(B) WHITE
CHD3	17p13.1	0.14	0.14	0.05	0.05	-0.00	0.463	0.636	(B) WHITE
ZC3H4	19q13.32	0.46	0.48	0.15	0.16	-0.01	0.464	0.636	(B) WHITE
LARGE2	11p11.2	0.76	0.78	0.18	0.17	-0.02	0.464	0.636	(B) WHITE
PELI1	2p14	0.03	0.03	0.07	0.04	0.01	0.464	0.636	(A) BLACK OR AFRICAN AMERICAN
MNX1	7q36.3	0.58	0.60	0.13	0.14	-0.01	0.464	0.636	(B) WHITE
SLC6A13	12p13.33	0.45	0.44	0.17	0.15	0.02	0.464	0.636	(A) BLACK OR AFRICAN AMERICAN
DENR	12q24.31	0.02	0.02	0.00	0.00	0.00	0.464	0.637	(A) BLACK OR AFRICAN AMERICAN
BAIAP2L2	22q13.1	0.74	0.75	0.16	0.14	-0.01	0.465	0.637	(B) WHITE
MT1G	16q13	0.31	0.29	0.26	0.26	0.02	0.465	0.637	(A) BLACK OR AFRICAN AMERICAN
CCDC32	15q15.1	0.02	0.02	0.01	0.00	0.00	0.465	0.637	(A) BLACK OR AFRICAN AMERICAN
FBLN1	22q13.31	0.59	0.61	0.18	0.17	-0.02	0.465	0.637	(B) WHITE
LOC100131496	20q13.12	0.34	0.36	0.14	0.16	-0.01	0.465	0.637	(B) WHITE
TMEM159	16p12.3	0.26	0.25	0.12	0.13	0.01	0.465	0.637	(A) BLACK OR AFRICAN AMERICAN
ZNF416	19q13.43	0.01	0.01	0.00	0.00	0.00	0.465	0.637	(A) BLACK OR AFRICAN AMERICAN
RPAIN	17p13.2	0.03	0.03	0.01	0.01	-0.00	0.465	0.637	(B) WHITE
NDUFS1	2q33.3	0.03	0.03	0.00	0.01	-0.00	0.465	0.637	(B) WHITE
CFTR	7q31.2	0.43	0.42	0.15	0.16	0.01	0.466	0.637	(A) BLACK OR AFRICAN AMERICAN
WNT4	1p36.12	0.50	0.48	0.13	0.17	0.01	0.466	0.637	(A) BLACK OR AFRICAN AMERICAN
CNNM2	10q24.32	0.17	0.18	0.11	0.10	-0.01	0.466	0.638	(B) WHITE
TTLL3	3p25.3	0.89	0.89	0.02	0.05	-0.00	0.466	0.638	(B) WHITE
TRIQK	8q22.1	0.09	0.08	0.06	0.03	0.01	0.466	0.638	(A) BLACK OR AFRICAN AMERICAN
TMEM169	2q35	0.66	0.68	0.19	0.17	-0.02	0.466	0.638	(B) WHITE
SDE2	1q42.12	0.02	0.02	0.01	0.01	0.00	0.466	0.638	(A) BLACK OR AFRICAN AMERICAN
POLR2F	22q13.1	0.03	0.03	0.01	0.01	-0.00	0.466	0.638	(B) WHITE
SHISA5	3p21.31	0.04	0.05	0.01	0.02	-0.00	0.466	0.638	(B) WHITE
RBBP5	1q32.1	0.04	0.04	0.02	0.04	-0.00	0.466	0.638	(B) WHITE
AKAP1	17q22	0.02	0.02	0.00	0.00	-0.00	0.466	0.638	(B) WHITE
MYH9	22q12.3	0.84	0.85	0.07	0.06	-0.01	0.467	0.638	(B) WHITE
